Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,DISABILITY_STATUS,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,15.88
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,18.54
2003,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.8
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,17.78
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,16.17
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,17.86
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,20.09
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,21.02
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.11
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.62
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.38
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,11.83
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,13.43
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,12.31
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,13.67
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,17.49
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,17.52
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,19.29
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,20.13
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,19.26
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,39.66
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,32.6
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,33.42
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,35.99
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,35.51
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,41.95
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,44.95
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,44.22
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,45.59
2000,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,17.25
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,22.15
2003,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,26.3
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,19.98
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,19.6
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,21.43
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,21.88
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,22.56
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,25.94
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,25.93
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,26.89
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,13.83
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,14.99
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,14.98
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,16.55
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,19.9
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,19.32
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,21.8
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,21.89
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y_GE25,None,PT,2025-03-15T00:00:00,2023,22.65
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,46.07
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,38.2
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,41.19
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,43.45
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,35.28
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,45.62
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,51.65
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,51.99
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,F,Y15T24,None,PT,2025-03-15T00:00:00,2023,51.7
2000,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,14.76
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,15.69
2003,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,21.4
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,15.64
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,13.0
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,14.59
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,18.35
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,19.5
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,20.2
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,21.38
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE15,None,PT,2025-03-15T00:00:00,2023,20.01
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,10.31
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,11.88
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,9.81
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,10.98
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,15.06
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,15.66
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,16.64
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,18.4
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y_GE25,None,PT,2025-03-15T00:00:00,2023,15.93
2001,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,33.91
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,27.66
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,26.72
2010,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,29.59
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,35.68
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,39.22
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,38.95
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,37.69
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM,72,M,Y15T24,None,PT,2025-03-15T00:00:00,2023,40.45
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.31
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,25.73
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,27.34
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,26.78
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE15,None,PT,2025-03-15T00:00:00,2023,27.43
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,20.61
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,21.92
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,23.24
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,23.09
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y_GE25,None,PT,2025-03-15T00:00:00,2023,23.04
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,38.6
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,46.98
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,49.1
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,47.54
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,None,Y15T24,None,PT,2025-03-15T00:00:00,2023,49.62
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,23.96
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,26.3
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,29.09
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,28.1
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_UEM_19ICLS,72,F,Y_GE15,None,PT,2025-03-15T00:00:00,2023,29.14
