Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,42.34
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,35.67
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,31.98
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,37.14
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,35.17
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,37.0
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,37.58
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,48.03
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,42.25
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,34.8
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,39.27
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,40.24
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,40.39
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,40.43
2006,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,36.08
2009,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,28.78
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,29.19
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,35.06
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,30.12
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,33.71
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,34.76
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,33.87
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,39.87
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,36.99
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,38.82
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,None,Y15T24,PT,2025-03-15T00:00:00,2023,39.85
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,35.63
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,40.46
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,40.96
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,40.71
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,F,Y15T24,PT,2025-03-15T00:00:00,2023,40.96
2019,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,32.13
2020,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,39.29
2021,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,33.05
2022,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,36.98
2023,A,0,Repository: ILO-STATISTICS - Micro data processing,HS - Multi-Topic Household Survey,SL_TLF_NEET_19ICLS,72,M,Y15T24,PT,2025-03-15T00:00:00,2023,38.76
