Year,OBS_STATUS,UNIT_MULT,BASE_PER,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2006,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,406.281
2007,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,91.5997
2008,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,185.271
2009,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,284.576
2010,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,265.207
2011,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,172.927
2012,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,119.356
2013,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,120.769
2014,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,163.654
2015,A,6,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,DC_TOF_TRDCML,204,CON_USD,2025-05-19T00:00:00,2023,275.252
